produceCode,collectionPointCode,quantity,ratePerUnit,grossAmount,qualityGrade,moisturePercent,hourOfDay,dayOfWeek,qtyDiffFromAvg,rateDiffFromMedian,priorAttentionCount,priorDeliveriesCount,hasNotes,neededAttention
MLK,CPE,21.75,28.28,615.09,C,,12,1,4.13,0.28,1,16,0,0
TOM,CPE,6.95,14.85,103.21,A,,21,3,0.49,-0.15,2,13,1,1
MLK,CPE,3.01,36.57,110.08,A,,17,5,0.34,1.57,1,6,0,0
CTN,CPE,382.18,57.31,21902.74,C,,15,5,-4.78,-0.29,3,19,1,1
MLK,CPE,52.4,31.84,1668.42,B,,18,0,-6.64,0.34,0,3,0,0
GNT,CPN,69.82,63.42,4427.98,B,,13,3,-10.92,2.22,1,7,0,0
MLK,CPN,20.6,33.64,692.98,A,,17,4,-1.29,-1.36,0,12,0,0
BNN,CPN,318.76,20.76,6617.46,C,,15,4,15.97,0.76,0,5,1,1
PDY,CPN,67.32,19.7,1326.2,B,16.0,9,4,7.14,-0.55,1,1,0,0
PDY,CPW,129.18,21.93,2832.92,A,19.7,8,0,4.05,-0.57,2,14,0,1
MLK,CPN,6.16,28.85,177.72,C,,10,3,-0.72,0.85,2,14,1,1
GNT,CPN,117.39,55.19,6478.75,C,,9,0,11.19,0.79,0,11,0,0
CTN,CPW,118.28,55.73,6591.74,C,,21,0,15.69,-1.87,1,12,0,0
TOM,CPW,9.22,14.38,132.58,A,,13,3,1.88,-0.62,0,7,0,0
PLS,CPE,95.65,80.9,7738.09,A,,19,4,11.02,-4.1,3,14,0,0
CTN,CPN,124.92,67.87,8478.32,B,,18,2,22.84,3.07,2,12,0,0
MZE,CPE,447.66,20.94,9374.0,A,13.9,11,2,-19.42,-0.06,4,25,1,0
PLS,CPN,156.28,82.19,12844.65,A,,14,1,33.75,-2.81,3,6,0,0
PDY,CPE,322.07,22.18,7143.51,A,14.1,12,1,-28.98,-0.32,3,13,0,0
TOM,CPN,1.22,12.09,14.75,C,,21,6,0.13,0.09,1,5,0,1
TOM,CPE,1.71,11.46,19.6,C,,9,5,-0.02,-0.54,6,20,0,0
MLK,CPN,3.23,30.0,96.9,B,,10,5,-0.1,-1.5,1,9,0,0
BNN,CPE,337.3,25.14,8479.72,A,,11,4,98.28,0.14,3,13,0,1
PDY,CPW,441.19,19.59,8642.91,B,10.2,15,4,-0.83,-0.66,1,4,1,1
PLS,CPN,31.4,77.16,2422.82,B,,16,3,-0.86,0.66,1,9,1,0
GNT,CPN,49.83,65.29,3253.4,A,,7,4,-9.4,-2.71,0,10,0,0
BNN,CPW,422.76,23.85,10082.83,A,,14,4,-60.85,-1.15,2,10,0,0
PDY,CPW,157.62,23.39,3686.73,A,15.4,17,4,19.56,0.89,2,13,0,0
TOM,CPE,13.16,11.54,151.87,C,,10,1,-3.7,-0.46,3,13,0,0
PDY,CPE,56.17,20.66,1160.47,B,11.0,7,2,16.47,0.41,2,13,0,0
TOM,CPE,9.38,12.3,115.37,C,,18,3,1.56,0.3,3,11,1,0
BNN,CPN,38.66,26.06,1007.48,A,,17,4,-11.5,1.06,1,11,0,0
MLK,CPE,6.95,29.26,203.36,C,,13,5,-2.03,1.26,3,6,0,0
PDY,CPE,314.43,21.74,6835.71,A,22.8,18,5,-58.59,-0.76,0,2,1,1
MLK,CPE,28.51,31.72,904.34,B,,6,1,-3.28,0.22,1,17,0,0
MZE,CPE,350.66,17.55,6154.08,C,21.9,6,4,-57.29,0.75,1,6,0,1
CTN,CPE,396.96,64.17,25472.92,B,,21,6,68.37,-0.63,3,13,0,1
CTN,CPW,293.76,65.16,19141.4,B,,8,6,-34.84,0.36,3,19,0,0
PDY,CPW,131.05,22.41,2936.83,A,23.7,10,1,29.18,-0.09,1,24,0,1
CTN,CPE,395.96,57.69,22842.93,C,,21,1,-8.18,0.09,0,2,0,1
PDY,CPW,316.87,19.32,6121.93,B,21.2,14,5,-47.2,-0.93,2,6,0,1
MLK,CPW,16.45,31.09,511.43,B,,13,1,0.52,-0.41,1,16,0,0
PDY,CPN,98.38,22.64,2227.32,A,21.8,11,1,-3.8,0.14,1,8,0,1
TOM,CPW,3.24,13.5,43.74,B,,11,4,-0.38,0.0,0,5,1,1
MZE,CPN,439.28,18.88,8293.61,B,20.1,19,0,-70.58,-0.02,2,8,0,1
MLK,CPE,15.52,27.63,428.82,C,,13,1,4.63,-0.37,2,27,0,0
CTN,CPN,170.01,60.07,10212.5,C,,19,3,32.52,2.47,5,18,0,0
CTN,CPE,361.96,55.88,20226.32,C,,19,2,23.36,-1.72,3,13,0,0
CTN,CPN,149.59,73.78,11036.75,A,,20,0,-25.9,1.78,3,12,0,1
BNN,CPN,81.55,19.41,1582.89,C,,7,1,-5.09,-0.59,3,22,0,0
BNN,CPN,329.62,25.35,8355.87,A,,8,3,-80.78,0.35,0,8,0,0
MLK,CPW,16.32,32.8,535.3,B,,13,5,3.88,1.3,0,8,0,0
PDY,CPW,443.48,23.26,10315.34,A,11.7,14,0,27.1,0.76,0,6,0,0
GNT,CPN,226.76,63.76,14458.22,B,,21,2,39.09,2.56,1,17,0,0
PDY,CPE,390.07,20.32,7926.22,B,12.6,12,0,-20.47,0.07,2,6,0,0
GNT,CPW,209.53,60.59,12695.42,B,,11,2,59.45,-0.61,1,7,0,0
MZE,CPN,275.87,20.66,5699.47,A,18.0,8,0,-23.66,-0.34,4,14,0,0
BNN,CPN,374.8,22.19,8316.81,B,,12,3,-54.35,-0.31,1,10,0,0
PDY,CPW,379.02,21.23,8046.59,B,17.4,18,1,-12.32,0.98,1,11,0,0
MLK,CPE,4.26,30.76,131.04,B,,20,5,1.1,-0.74,2,9,0,1
TOM,CPE,3.82,12.08,46.15,C,,7,6,1.07,0.08,2,23,0,0
MZE,CPE,430.75,18.25,7861.19,B,18.7,7,4,-120.88,-0.65,0,4,0,1
BNN,CPN,433.7,20.58,8925.55,C,,14,6,118.62,0.58,2,11,0,0
GNT,CPE,413.66,58.35,24137.06,B,,10,6,-85.52,-2.85,5,21,0,0
PDY,CPW,176.82,18.11,3202.21,C,16.7,8,4,12.31,0.11,1,13,1,1
BNN,CPW,192.83,24.95,4811.11,A,,14,3,23.57,-0.05,0,2,0,1
PDY,CPE,39.39,19.46,766.53,B,15.5,9,3,-7.98,-0.79,1,9,0,0
CTN,CPW,95.91,55.99,5370.0,C,,6,1,-5.35,-1.61,2,11,0,1
PDY,CPN,75.69,18.7,1415.4,C,23.4,17,1,4.16,0.7,1,20,0,1
BNN,CPW,54.85,21.87,1199.57,B,,18,3,-2.16,-0.63,0,1,0,0
MZE,CPE,392.94,17.15,6738.92,C,21.7,14,4,-57.41,0.35,1,7,0,1
CTN,CPE,131.24,69.79,9159.24,A,,18,5,29.26,-2.21,3,13,0,1
PDY,CPW,188.63,17.42,3285.93,C,20.6,11,3,-39.89,-0.58,0,6,1,1
MZE,CPN,184.95,20.09,3715.65,A,21.5,20,6,-40.84,-0.91,0,10,1,1
MLK,CPE,52.08,28.73,1496.26,C,,10,2,9.36,0.73,3,13,1,1
